x,y,z
0.0392266,0.0392266,10.120462
-0.0,0.0784532,10.159689
-0.0,-0.588399,10.159689
-0.0392266,0.0784532,10.081236
-0.0,0.1176798,10.238142
-0.0392266,-0.0,10.238142
-0.0,-0.0392266,10.159689
0.0392266,0.0392266,9.5320635
0.0784532,0.0784532,10.120462
-0.0,0.0784532,10.120462
0.1176798,-0.0392266,10.1989155
0.0784532,-0.0,10.238142
0.0784532,0.0784532,10.081236
0.0784532,0.1176798,10.277369
0.0784532,-0.0,10.159689
0.0784532,-0.1176798,10.159689
0.0392266,0.0784532,10.120462
-0.5099458,0.0784532,10.238142
-0.0784532,-0.0,10.120462
0.0392266,-0.0784532,10.120462
-0.0,0.1176798,10.159689
-0.0,0.0784532,10.1989155
-0.0784532,0.1176798,10.120462
-0.0,0.0784532,10.238142
-0.0392266,0.1176798,10.120462
0.19613299,0.1176798,10.120462
0.0392266,0.1176798,10.1989155
-0.588399,0.0784532,10.081236
0.0784532,0.0392266,9.492837
0.0784532,0.0784532,10.238142
0.19613299,0.0784532,10.1989155
0.1569064,-0.0,10.159689
-0.0,-0.0,10.1989155
0.19613299,0.1176798,9.963556
0.0784532,-0.0784532,10.277369
0.1176798,-0.588399,10.1989155
0.1569064,0.1176798,10.120462
0.0392266,0.0392266,10.042009
0.0784532,0.0392266,10.042009
0.0392266,0.1176798,10.120462
-0.0784532,0.1176798,10.081236
-0.0,-0.0,10.238142
-0.0,0.0784532,10.081236
0.0392266,0.0784532,10.120462
0.0784532,-0.0,10.042009
-0.0784532,0.1569064,10.238142
-0.5491724,-0.0,10.120462
0.0784532,-0.0392266,10.042009
0.1176798,0.0392266,10.081236
0.1176798,-0.0784532,9.963556
0.0784532,0.1176798,10.081236
0.1176798,0.0784532,10.1989155
0.1176798,-0.0,10.1989155
0.1176798,0.0392266,10.159689
0.1569064,0.0392266,10.159689
0.0784532,0.0784532,10.238142
0.0392266,0.0392266,10.238142
-0.0,-0.0,10.1989155
0.0784532,0.0392266,10.081236
0.1176798,-0.0,10.1989155
0.0392266,0.0392266,10.159689
0.0784532,0.1176798,10.159689
0.0784532,0.1176798,10.042009
0.0392266,-0.0,10.1989155
-0.0392266,-0.0392266,10.238142
0.0392266,0.0392266,10.081236
-0.0,0.1569064,10.042009
0.0784532,0.1569064,9.92433
0.0392266,-0.0392266,10.316595
0.0784532,-0.0392266,10.238142
0.0784532,-0.0,10.159689
0.0392266,0.0784532,10.1989155
0.1176798,-0.0,10.120462
0.0392266,-0.0392266,10.081236
-0.0,0.0392266,10.277369
-0.0784532,-0.588399,10.1989155
0.1176798,0.1176798,10.1989155
0.0392266,-0.0,10.238142
0.1569064,0.6276256,10.1989155
-0.0392266,0.0784532,10.081236
-0.0392266,0.0392266,10.002783
0.0392266,-0.0,10.042009
-0.0392266,-0.0,10.238142
-0.0392266,0.1176798,10.238142
0.0784532,0.1569064,10.081236
0.1176798,0.0784532,10.159689
-0.0392266,-0.0392266,10.081236
0.1176798,0.1176798,10.042009
0.0392266,0.0392266,10.081236
-0.0,0.0784532,10.081236
0.0784532,-0.0,10.081236
-0.0,0.0784532,10.120462
0.0392266,0.0784532,10.159689
0.1176798,0.0784532,10.042009
0.0392266,-0.0784532,10.081236
0.0784532,-0.0392266,10.159689
0.1569064,0.0392266,10.316595
0.1176798,0.1569064,10.120462
-0.0,0.0784532,10.081236
0.1569064,0.19613299,10.002783
0.1176798,0.0392266,10.277369
0.1569064,0.0392266,10.120462
-0.0,0.0784532,10.081236
0.0392266,0.0392266,10.081236
0.0392266,0.1176798,10.081236
0.1176798,0.0784532,10.120462
0.1176798,-0.0,10.002783
-0.0392266,0.0392266,10.120462
-0.0784532,0.1176798,10.238142
-0.0,0.0392266,10.120462
-0.0,0.0784532,10.669635
0.0392266,0.0392266,10.238142
-0.0392266,-0.0784532,10.159689
0.0784532,-0.0,10.081236
0.0784532,0.0784532,10.159689
-0.0392266,0.0392266,10.1989155
0.19613299,-0.0784532,10.120462
0.1176798,0.0784532,10.238142
0.1176798,0.1176798,10.081236
0.19613299,0.0392266,10.081236
-0.0,-0.0,10.159689
0.1569064,-0.0,10.238142
-0.0392266,-0.0392266,10.238142
0.0784532,0.0784532,9.492837
-0.0392266,0.0392266,10.081236
-0.0,-0.0,10.159689
0.0784532,-0.0,10.042009
-0.0392266,0.0784532,10.042009
-0.0784532,0.0392266,10.081236
0.0784532,0.0784532,10.081236
0.0784532,0.1176798,10.159689
0.1176798,-0.0,10.277369
0.1569064,0.1176798,10.081236
-0.588399,-0.0,10.159689
0.0392266,0.0784532,10.159689
0.19613299,0.0392266,10.120462
0.1569064,0.0392266,10.238142
0.0784532,-0.1176798,10.238142
0.1176798,0.0784532,10.159689
0.0392266,0.0784532,10.159689
0.0392266,0.6276256,10.042009
0.1176798,-0.0,9.963556
0.0392266,-0.0,10.159689
0.1176798,-0.0,10.120462
0.0784532,0.0784532,10.120462
0.0392266,-0.0392266,10.159689
0.0392266,0.1569064,10.120462
-0.0,0.0392266,10.081236
0.0392266,0.1176798,10.238142
0.0784532,0.0784532,10.630408
0.0392266,0.0392266,10.277369
